rssi,lqi
-81,48
-80,52
-78,60
-78,60
-77,64
-77,64
-77,64
-77,64
-76,68
-75,72
-75,72
-75,72
-75,72
-75,72
-74,76
-74,76
-74,76
-75,72
-75,72
-76,68
-77,64
-73,80
-71,88
-75,72
-74,76
-72,84
-71,88
-71,88
-72,84
-72,84
-73,80
-72,84
-71,88
-71,88
-71,88
-71,88
-70,92
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-72,84
-71,88
-73,80
-72,84
-73,80
-73,80
-74,76
-75,72
-74,76
-74,76
-75,72
-75,72
-75,72
-76,68
-76,68
-76,68
-75,72
-75,72
-75,72
-75,72
-75,72
-75,72
-74,76
-74,76
-73,80
-73,80
-73,80
-73,80
-72,84
-72,84
-71,88
-71,88
-70,92
-70,92
-70,92
-71,88
-71,88
-71,88
-71,88
-72,84
-72,84
-72,84
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-73,80
-74,76
-74,76
-75,72
-76,68
-76,68
-77,64
-79,56
-80,52
-81,48
-79,56
-79,56
-78,60
-79,56
-79,56
-78,60
-78,60
-78,60
-78,60
-77,64
-75,72
-74,76
-75,72
-75,72
-74,76
-73,80
-74,76
-73,80
-73,80
-72,84
-73,80
-73,80
-74,76
-77,64
-71,88
-74,76
-74,76
-74,76
-75,72
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-73,80
-72,84
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-72,84
-75,72
-76,68
-77,64
-77,64
-75,72
-76,68
-75,72
-75,72
-74,76
-75,72
-75,72
-75,72
-77,64
-76,68
-77,64
-73,80
-72,84
-72,84
-72,84
-73,80
-73,80
-73,80
-75,72
-78,60
-76,68
-75,72
-74,76
-79,56
-77,64
-74,76
-72,84
-72,84
-74,76
-75,72
-76,68
-75,72
-75,72
-75,72
-76,68
-76,68
-74,76
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-74,76
-74,76
-75,72
-72,84
-73,80
-74,76
-73,80
-72,84
-74,76
-75,72
-76,68
-76,68
-75,72
-74,76
-74,76
-73,80
-74,76
-73,80
-74,76
-76,68
-75,72
-75,72
-77,64
-78,60
-77,64
-77,64
-81,48
-81,48
-78,60
-77,64
-75,72
-74,76
-71,88
-71,88
-71,88
-69,96
-69,96
-69,96
-69,96
-70,92
-69,96
-69,96
-68,100
-69,96
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-69,96
-69,96
-70,92
-70,92
-70,92
-69,96
-69,96
-70,92
-71,88
-70,92
-70,92
-70,92
-70,92
-70,92
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-73,80
-72,84
-73,80
-73,80
-73,80
-74,76
-72,84
-73,80
-73,80
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-73,80
-73,80
-73,80
-73,80
-72,84
-72,84
-72,84
-72,84
-71,88
-72,84
-72,84
-72,84
-71,88
-72,84
-71,88
-72,84
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-72,84
-72,84
-71,88
-71,88
-71,88
-71,88
-72,84
-72,84
-73,80
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-73,80
-73,80
-73,80
-73,80
-72,84
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-73,80
-73,80
-74,76
-74,76
-74,76
-71,88
-71,88
-70,92
-70,92
-70,92
-70,92
-71,88
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-73,80
-72,84
-72,84
-75,72
-71,88
-71,88
-71,88
-71,88
-70,92
-70,92
-69,96
-69,96
-70,92
-72,84
-70,92
-70,92
-71,88
-70,92
-71,88
-71,88
-71,88
-72,84
-73,80
-73,80
-73,80
-74,76
-74,76
-73,80
-71,88
-70,92
-69,96
-71,88
-70,92
-70,92
-70,92
-71,88
-71,88
-70,92
-71,88
-70,92
-69,96
-70,92
-70,92
-72,84
-72,84
-72,84
-70,92
-70,92
-72,84
-71,88
-71,88
-72,84
-71,88
-70,92
-71,88
-70,92
-70,92
-70,92
-69,96
-71,88
-70,92
-70,92
-70,92
-71,88
-71,88
-73,80
-73,80
-73,80
-74,76
-75,72
-75,72
-74,76
-74,76
-75,72
-77,64
-72,84
-72,84
-74,76
-73,80
-74,76
-74,76
-74,76
-74,76
-75,72
-76,68
-76,68
-76,68
-76,68
-74,76
-74,76
-75,72
-75,72
-75,72
-76,68
-75,72
-75,72
-75,72
-74,76
-74,76
-74,76
-74,76
-74,76
-73,80
-74,76
-73,80
-74,76
-73,80
-73,80
-74,76
-74,76
-74,76
-73,80
-74,76
-74,76
-73,80
-73,80
-74,76
-74,76
-74,76
-73,80
-73,80
-73,80
-72,84
-72,84
-72,84
-72,84
-71,88
-72,84
-72,84
-71,88
-72,84
-72,84
-71,88
-72,84
-73,80
-73,80
-74,76
-73,80
-73,80
-73,80
-73,80
-73,80
-72,84
-74,76
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-72,84
-73,80
-72,84
-71,88
-73,80
-73,80
-73,80
-74,76
-74,76
-74,76
-75,72
-76,68
-76,68
-78,60
-76,68
-75,72
-76,68
-79,56
-78,60
-77,64
-77,64
-77,64
-78,60
-78,60
-78,60
-77,64
-77,64
-77,64
-77,64
-77,64
-77,64
-77,64
-77,64
-78,60
-77,64
-77,64
-77,64
-77,64
-76,68
-77,64
-76,68
-77,64
-77,64
-77,64
-77,64
-77,64
-77,64
-76,68
-74,76
-74,76
-74,76
-74,76
-75,72
-77,64
-78,60
-78,60
-78,60
-77,64
-75,72
-76,68
-77,64
-76,68
-77,64
-78,60
-77,64
-78,60
-78,60
-77,64
-78,60
-79,56
-78,60
-77,64
-76,68
-75,72
-75,72
-75,72
-76,68
-77,64
-78,60
-78,60
-78,60
-78,60
-76,68
-76,68
-76,68
-77,64
-77,64
-77,64
-77,64
-78,60
-78,60
-77,64
-78,60
-78,60
-78,60
-78,60
-78,60
-77,64
-78,60
-77,64
-77,64
-77,64
-77,64
-77,64
-76,68
-76,68
-76,68
-76,68
-76,68
-76,68
-76,68
-77,64
-77,64
-78,60
-78,60
-78,60
-78,60
-78,60
-78,60
-78,60
-77,64
-77,64
-77,64
-77,64
-76,68
-76,68
-76,68
-77,64
-77,64
-77,64
-78,60
-78,60
-77,64
-75,72
-75,72
-75,72
-75,72
-75,72
-76,68
-77,64
-76,68
-78,60
-78,60
-79,56
-79,56
-79,56
-79,56
-78,60
-77,64
-78,60
-78,60
-80,52
-79,56
-78,60
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-77,64
-76,68
-78,60
-79,56
-79,56
-77,64
-76,68
-75,72
-74,76
-73,80
-72,84
-72,84
-72,84
-72,84
-72,84
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-74,76
-73,80
-73,80
-74,76
-74,76
-75,72
-76,68
-79,56
-79,56
-78,60
-76,68
-74,76
-73,80
-72,84
-72,84
-72,84
-72,84
-72,84
-74,76
-75,72
-75,72
-75,72
-76,68
-74,76
-74,76
-74,76
-75,72
-74,76
-73,80
-72,84
-73,80
-73,80
-72,84
-71,88
-71,88
-72,84
-71,88
-71,88
-70,92
-70,92
-70,92
-71,88
-70,92
-72,84
-73,80
-74,76
-74,76
-75,72
-74,76
-74,76
-74,76
-73,80
-74,76
-74,76
-74,76
-75,72
-74,76
-73,80
-74,76
-74,76
-74,76
-74,76
-74,76
-73,80
-73,80
-73,80
-73,80
-73,80
-72,84
-73,80
-72,84
-73,80
-72,84
-72,84
-72,84
-72,84
-73,80
-73,80
-73,80
-73,80
-74,76
-74,76
-75,72
-75,72
-74,76
-75,72
-75,72
-76,68
-75,72
-75,72
-74,76
-74,76
-76,68
-76,68
-76,68
-76,68
-75,72
-73,80
-73,80
-73,80
-72,84
-72,84
-72,84
-72,84
-72,84
-73,80
-73,80
-74,76
-74,76
-75,72
-76,68
-76,68
-75,72
-74,76
-75,72
-75,72
-75,72
-74,76
-74,76
-74,76
-75,72
-75,72
-75,72
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-75,72
-75,72
-75,72
-75,72
-74,76
-74,76
-74,76
-73,80
-73,80
-74,76
-73,80
-73,80
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-75,72
-75,72
-75,72
-74,76
-74,76
-74,76
-73,80
-73,80
-74,76
-73,80
-73,80
-73,80
-72,84
-72,84
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-72,84
-73,80
-73,80
-72,84
-72,84
-72,84
-72,84
-71,88
-72,84
-72,84
-72,84
-72,84
-73,80
-73,80
-73,80
-73,80
-72,84
-72,84
-72,84
-71,88
-72,84
-73,80
-73,80
-73,80
-72,84
-73,80
-73,80
-73,80
-72,84
-72,84
-72,84
-71,88
-72,84
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-71,88
-72,84
-71,88
-72,84
-72,84
-72,84
-73,80
-73,80
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-71,88
-72,84
-72,84
-71,88
-72,84
-72,84
-71,88
-73,80
-72,84
-73,80
-72,84
-72,84
-72,84
-73,80
-73,80
-73,80
-73,80
-72,84
-72,84
-73,80
-72,84
-73,80
-72,84
-72,84
-72,84
-72,84
-72,84
-73,80
-72,84
-72,84
-72,84
-72,84
-73,80
-72,84
-72,84
-72,84
-72,84
-73,80
-73,80
-73,80
-73,80
-74,76
-74,76
-73,80
-73,80
-73,80
-73,80
-73,80
-74,76
-74,76
-73,80
-74,76
-74,76
-74,76
-73,80
-73,80
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-73,80
-74,76
-74,76
-73,80
-72,84
-73,80
-73,80
-72,84
-71,88
-71,88
-71,88
-72,84
-72,84
-73,80
-73,80
-72,84
-73,80
-72,84
-71,88
-72,84
-72,84
-74,76
-73,80
-74,76
-75,72
-77,64
-76,68
-74,76
-74,76
-73,80
-72,84
-71,88
-73,80
-72,84
-71,88
-72,84
-72,84
-74,76
-73,80
-73,80
-73,80
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-73,80
-74,76
-74,76
-73,80
-73,80
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-73,80
-73,80
-73,80
-73,80
-72,84
-72,84
-72,84
-74,76
-74,76
-74,76
-73,80
-73,80
-73,80
-72,84
-72,84
-72,84
-72,84
-73,80
-71,88
-71,88
-72,84
-72,84
-72,84
-71,88
-72,84
-71,88
-72,84
-73,80
-72,84
-72,84
-73,80
-74,76
-74,76
-73,80
-72,84
-72,84
-71,88
-70,92
-70,92
-70,92
-70,92
-71,88
-72,84
-72,84
-73,80
-75,72
-74,76
-75,72
-77,64
-75,72
-75,72
-76,68
-77,64
-77,64
-77,64
-77,64
-77,64
-77,64
-77,64
-76,68
-75,72
-74,76
-74,76
-74,76
-74,76
-75,72
-75,72
-76,68
-75,72
-75,72
-76,68
-77,64
-78,60
-78,60
-79,56
-77,64
-75,72
-76,68
-75,72
-76,68
-76,68
-76,68
-75,72
-74,76
-74,76
-72,84
-73,80
-73,80
-74,76
-74,76
-74,76
-73,80
-74,76
-74,76
-74,76
-74,76
-75,72
-75,72
-74,76
-75,72
-74,76
-74,76
-75,72
-75,72
-74,76
-75,72
-75,72
-75,72
-73,80
-73,80
-73,80
-74,76
-74,76
-72,84
-73,80
-79,56
-77,64
-76,68
-78,60
-75,72
-75,72
-76,68
-74,76
-74,76
-73,80
-73,80
-74,76
-73,80
-73,80
-70,92
-71,88
-72,84
-71,88
-72,84
-73,80
-73,80
-72,84
-72,84
-72,84
-73,80
-73,80
-73,80
-72,84
-72,84
-71,88
-70,92
-70,92
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-72,84
-71,88
-71,88
-71,88
-71,88
-71,88
-72,84
-72,84
-73,80
-75,72
-75,72
-75,72
-75,72
-74,76
-73,80
-74,76
-74,76
-74,76
-74,76
-73,80
-72,84
-73,80
-73,80
-72,84
-72,84
-72,84
-72,84
-73,80
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-73,80
-73,80
-74,76
-74,76
-74,76
-73,80
-74,76
-74,76
-73,80
-73,80
-74,76
-73,80
-73,80
-73,80
-74,76
-74,76
-74,76
-74,76
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-74,76
-74,76
-73,80
-73,80
-73,80
-73,80
-74,76
-74,76
-74,76
-75,72
-75,72
-74,76
-74,76
-74,76
-75,72
-74,76
-74,76
-73,80
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-75,72
-75,72
-75,72
-76,68
-76,68
-76,68
-75,72
-76,68
-77,64
-77,64
-76,68
-75,72
-75,72
-79,56
-77,64
-78,60
-77,64
-78,60
-75,72
-75,72
-75,72
-78,60
-77,64
-77,64
-78,60
-76,68
-85,32
-72,84
-70,92
-71,88
-75,72
-82,44
-76,68
-76,68
-74,76
-73,80
-76,68
-75,72
-75,72
-75,72
-74,76
-75,72
-75,72
-74,76
-74,76
-74,76
-74,76
-75,72
-75,72
-75,72
-74,76
-73,80
-74,76
-75,72
-75,72
-76,68
-78,60
-78,60
-78,60
-78,60
-78,60
-80,52
-79,56
-80,52
-78,60
-78,60
-79,56
-80,52
-79,56
-78,60
-78,60
-78,60
-79,56
-79,56
-79,56
-79,56
-79,56
-78,60
-78,60
-78,60
-78,60
-78,60
-79,56
-79,56
-79,56
-79,56
-79,56
-78,60
-78,60
-78,60
-78,60
-78,60
-77,64
-77,64
-77,64
-77,64
-76,68
-75,72
-76,68
-76,68
-76,68
-76,68
-77,64
-78,60
-77,64
-78,60
-77,64
-77,64
-78,60
-78,60
-78,60
-77,64
-77,64
-76,68
-76,68
-76,68
-76,68
-76,68
-76,68
-77,64
-78,60
-78,60
-78,60
-77,64
-77,64
-77,64
-77,64
-75,72
-75,72
-75,72
-75,72
-76,68
-76,68
-76,68
-74,76
-74,76
-75,72
-75,72
-75,72
-76,68
-75,72
-76,68
-77,64
-77,64
-77,64
-76,68
-77,64
-79,56
-81,48
-80,52
-78,60
-76,68
-75,72
-76,68
-76,68
-75,72
-74,76
-74,76
-77,64
-77,64
-77,64
-77,64
-78,60
-77,64
-75,72
-73,80
-73,80
-74,76
-74,76
-74,76
-73,80
-75,72
-75,72
-76,68
-76,68
-78,60
-77,64
-76,68
-76,68
-75,72
-75,72
-76,68
-75,72
-74,76
-74,76
-77,64
-76,68
-78,60
-74,76
-76,68
-74,76
-76,68
-76,68
-75,72
-73,80
-75,72
-76,68
-74,76
-73,80
-73,80
-75,72
-75,72
-75,72
-75,72
-76,68
-74,76
-73,80
-72,84
-73,80
-73,80
-71,88
-71,88
-70,92
-71,88
-72,84
-74,76
-73,80
-73,80
-72,84
-72,84
-71,88
-71,88
-70,92
-70,92
-71,88
-71,88
-70,92
-71,88
-69,96
-70,92
-70,92
-70,92
-71,88
-71,88
-72,84
-73,80
-72,84
-73,80
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-70,92
-70,92
-71,88
-71,88
-71,88
-72,84
-73,80
-73,80
-73,80
-74,76
-77,64
-75,72
-76,68
-76,68
-73,80
-73,80
-80,52
-74,76
-73,80
-73,80
-73,80
-74,76
-74,76
-73,80
-73,80
-73,80
-73,80
-70,92
-76,68
-72,84
-73,80
-73,80
-74,76
-74,76
-75,72
-76,68
-77,64
-78,60
-80,52
-81,48
-81,48
-80,52
-77,64
-76,68
-75,72
-75,72
-76,68
-79,56
-80,52
-76,68
-74,76
-73,80
-73,80
-72,84
-71,88
-73,80
-73,80
-74,76
-76,68
-74,76
-75,72
-75,72
-77,64
-76,68
-75,72
-75,72
-74,76
-76,68
-75,72
-77,64
-74,76
-72,84
-71,88
-72,84
-73,80
-75,72
-75,72
-74,76
-75,72
-73,80
-78,60
-77,64
-76,68
-76,68
-77,64
-77,64
-77,64
-76,68
-72,84
-73,80
-72,84
-72,84
-71,88
-70,92
-71,88
-70,92
-70,92
-70,92
-71,88
-70,92
-70,92
-69,96
-70,92
-70,92
-72,84
-72,84
-74,76
-75,72
-76,68
-77,64
-77,64
-79,56
-79,56
-79,56
-81,48
-81,48
-80,52
-80,52
-80,52
-78,60
-78,60
-78,60
-78,60
-77,64
-78,60
-77,64
-77,64
-77,64
-77,64
-77,64
-77,64
-77,64
-78,60
-80,52
-79,56
-78,60
-76,68
-75,72
-74,76
-73,80
-73,80
-73,80
-74,76
-74,76
-74,76
-75,72
-75,72
-76,68
-76,68
-76,68
-75,72
-74,76
-74,76
-74,76
-74,76
-74,76
-73,80
-73,80
-73,80
-73,80
-74,76
-73,80
-73,80
-73,80
-72,84
-73,80
-73,80
-74,76
-75,72
-76,68
-76,68
-75,72
-76,68
-76,68
-77,64
-77,64
-72,84
-70,92
-76,68
-75,72
-76,68
-76,68
-77,64
-75,72
-75,72
-75,72
-74,76
-76,68
-76,68
-75,72
-76,68
-76,68
-75,72
-75,72
-74,76
-74,76
-75,72
-75,72
-74,76
-75,72
-75,72
-75,72
-75,72
-75,72
-75,72
-74,76
-74,76
-75,72
-73,80
-73,80
-73,80
-75,72
-70,92
-69,96
-71,88
-73,80
-74,76
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-73,80
-72,84
-73,80
-74,76
-75,72
-75,72
-75,72
-75,72
-76,68
-76,68
-75,72
-73,80
-72,84
-72,84
-73,80
-73,80
-73,80
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-74,76
-73,80
-72,84
-72,84
-71,88
-72,84
-71,88
-71,88
-71,88
-72,84
-72,84
-72,84
-73,80
-73,80
-72,84
-71,88
-71,88
-71,88
-72,84
-71,88
-71,88
-72,84
-73,80
-74,76
-73,80
-74,76
-73,80
-73,80
-73,80
-73,80
-72,84
-72,84
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-73,80
-72,84
-72,84
-72,84
-72,84
-73,80
-73,80
-73,80
-73,80
-74,76
-74,76
-74,76
-73,80
-74,76
-74,76
-74,76
-74,76
-74,76
-75,72
-74,76
-75,72
-74,76
-75,72
-74,76
-74,76
-74,76
-74,76
-74,76
-73,80
-73,80
-72,84
-73,80
-73,80
-73,80
-73,80
-74,76
-73,80
-73,80
-73,80
-74,76
-78,60
-73,80
-75,72
-76,68
-75,72
-74,76
-76,68
-77,64
-74,76
-73,80
-74,76
-74,76
-77,64
-75,72
-73,80
-74,76
-75,72
-72,84
-74,76
-78,60
-77,64
-75,72
-77,64
-74,76
-78,60
-75,72
-75,72
-77,64
-77,64
-75,72
-74,76
-74,76
-75,72
-74,76
-74,76
-74,76
-74,76
-75,72
-76,68
-77,64
-74,76
-75,72
-74,76
-74,76
-73,80
-74,76
-74,76
-74,76
-73,80
-73,80
-73,80
-74,76
-74,76
-74,76
-73,80
-71,88
-73,80
-73,80
-72,84
-72,84
-73,80
-73,80
-72,84
-72,84
-72,84
-75,72
-71,88
-73,80
-74,76
-74,76
-74,76
-74,76
-74,76
-72,84
-73,80
-73,80
-71,88
-71,88
-72,84
-73,80
-72,84
-72,84
-71,88
-71,88
-73,80
-70,92
-73,80
-72,84
-72,84
-71,88
-73,80
-71,88
-74,76
-70,92
-73,80
-76,68
-74,76
-72,84
-71,88
-74,76
-74,76
-72,84
-74,76
-73,80
-73,80
-74,76
-75,72
-74,76
-75,72
-73,80
-75,72
-74,76
-72,84
-72,84
-73,80
-73,80
-73,80
-72,84
-73,80
-73,80
-74,76
-73,80
-74,76
-74,76
-73,80
-72,84
-75,72
-69,96
-72,84
-75,72
-71,88
-74,76
-72,84
-72,84
-70,92
-70,92
-73,80
-74,76
-72,84
-71,88
-72,84
-72,84
-71,88
-75,72
-72,84
-72,84
-71,88
-69,96
-72,84
-72,84
-78,60
-75,72
-74,76
-73,80
-71,88
-69,96
-69,96
-71,88
-71,88
-71,88
-70,92
-70,92
-69,96
-69,96
-70,92
-72,84
-71,88
-71,88
-72,84
-73,80
-74,76
-69,96
-77,64
-71,88
-73,80
-72,84
-72,84
-74,76
-74,76
-72,84
-72,84
-71,88
-69,96
-69,96
-69,96
-70,92
-70,92
-69,96
-69,96
-69,96
-69,96
-71,88
-72,84
-72,84
-70,92
-71,88
-71,88
-70,92
-69,96
-69,96
-70,92
-71,88
-70,92
-71,88
-71,88
-70,92
-71,88
-71,88
-71,88
-72,84
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-70,92
-70,92
-70,92
-70,92
-71,88
-71,88
-70,92
-70,92
-69,96
-69,96
-69,96
-70,92
-69,96
-70,92
-69,96
-69,96
-69,96
-72,84
-70,92
-69,96
-69,96
-71,88
-70,92
-71,88
-70,92
-71,88
-70,92
-70,92
-70,92
-70,92
-71,88
-70,92
-71,88
-71,88
-74,76
-71,88
-70,92
-71,88
-71,88
-68,100
-71,88
-67,104
-73,80
-72,84
-69,96
-71,88
-69,96
-69,96
-70,92
-69,96
-70,92
-70,92
-69,96
-69,96
-71,88
-70,92
-71,88
-71,88
-71,88
-71,88
-71,88
-70,92
-70,92
-71,88
-71,88
-71,88
-71,88
-70,92
-69,96
-69,96
-69,96
-68,100
-69,96
-70,92
-69,96
-70,92
-70,92
-69,96
-69,96
-71,88
-70,92
-69,96
-70,92
-71,88
-71,88
-70,92
-68,100
-68,100
-67,104
-70,92
-70,92
-73,80
-72,84
-73,80
-74,76
-75,72
-69,96
-71,88
-70,92
-69,96
-69,96
-70,92
-70,92
-69,96
-71,88
-69,96
-70,92
-67,104
-69,96
-69,96
-69,96
-69,96
-71,88
-73,80
-75,72
-70,92
-70,92
-71,88
-71,88
-69,96
-71,88
-72,84
-72,84
-77,64
-74,76
-75,72
-73,80
-72,84
-72,84
-72,84
-69,96
-69,96
-70,92
-71,88
-70,92
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-72,84
-72,84
-70,92
-70,92
-71,88
-73,80
-72,84
-71,88
-72,84
-71,88
-73,80
-70,92
-72,84
-72,84
-72,84
-69,96
-75,72
-72,84
-72,84
-70,92
-71,88
-72,84
-73,80
-75,72
-73,80
-73,80
-71,88
-73,80
-75,72
-77,64
-73,80
-70,92
-70,92
-74,76
-74,76
-69,96
-73,80
-72,84
-71,88
-73,80
-71,88
-72,84
-71,88
-72,84
-71,88
-71,88
-73,80
-72,84
-74,76
-71,88
-73,80
-74,76
-75,72
-74,76
-73,80
-76,68
-73,80
-70,92
-72,84
-70,92
-72,84
-71,88
-71,88
-72,84
-71,88
-73,80
-71,88
-68,100
-68,100
-69,96
-69,96
-69,96
-70,92
-69,96
-69,96
-69,96
-70,92
-72,84
-72,84
-72,84
-73,80
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-70,92
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-70,92
-70,92
-71,88
-72,84
-72,84
-72,84
-74,76
-74,76
-72,84
-71,88
-70,92
-70,92
-71,88
-71,88
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-71,88
-70,92
-70,92
-70,92
-71,88
-71,88
-71,88
-71,88
-70,92
-71,88
-71,88
-71,88
-71,88
-70,92
-70,92
-70,92
-71,88
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-68,100
-70,92
-71,88
-69,96
-71,88
-71,88
-69,96
-71,88
-71,88
-72,84
-73,80
-73,80
-73,80
-71,88
-72,84
-73,80
-72,84
-72,84
-71,88
-73,80
-75,72
-76,68
-75,72
-73,80
-74,76
-73,80
-75,72
-74,76
-73,80
-71,88
-72,84
-73,80
-74,76
-73,80
-73,80
-73,80
-74,76
-74,76
-72,84
-71,88
-70,92
-72,84
-75,72
-75,72
-73,80
-73,80
-74,76
-73,80
-73,80
-76,68
-73,80
-77,64
-74,76
-74,76
-74,76
-73,80
-74,76
-73,80
-72,84
-72,84
-73,80
-73,80
-73,80
-73,80
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-71,88
-72,84
-71,88
-72,84
-71,88
-72,84
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-71,88
-71,88
-70,92
-70,92
-70,92
-70,92
-69,96
-70,92
-71,88
-70,92
-71,88
-70,92
-72,84
-69,96
-69,96
-68,100
-69,96
-69,96
-69,96
-69,96
-71,88
-70,92
-69,96
-69,96
-70,92
-70,92
-71,88
-74,76
-74,76
-73,80
-74,76
-73,80
-72,84
-72,84
-71,88
-71,88
-72,84
-71,88
-71,88
-72,84
-72,84
-72,84
-71,88
-71,88
-70,92
-71,88
-71,88
-70,92
-71,88
-71,88
-70,92
-70,92
-71,88
-71,88
-71,88
-71,88
-72,84
-71,88
-71,88
-71,88
-72,84
-71,88
-72,84
-72,84
-72,84
-73,80
-73,80
-73,80
-74,76
-76,68
-75,72
-73,80
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-70,92
-71,88
-71,88
-71,88
-72,84
-72,84
-72,84
-71,88
-70,92
-70,92
-70,92
-71,88
-72,84
-72,84
-72,84
-71,88
-71,88
-71,88
-72,84
-74,76
-71,88
-74,76
-71,88
-71,88
-71,88
-72,84
-72,84
-73,80
-73,80
-74,76
-74,76
-71,88
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-71,88
-71,88
-70,92
-70,92
-72,84
-74,76
-70,92
-69,96
-68,100
-69,96
-71,88
-73,80
-72,84
-72,84
-72,84
-72,84
-74,76
-73,80
-70,92
-69,96
-70,92
-71,88
-71,88
-70,92
-70,92
-69,96
-69,96
-69,96
-70,92
-70,92
-69,96
-69,96
-69,96
-69,96
-69,96
-70,92
-71,88
-71,88
-72,84
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-73,80
-73,80
-72,84
-72,84
-71,88
-70,92
-70,92
-70,92
-71,88
-71,88
-70,92
-69,96
-69,96
-69,96
-69,96
-69,96
-70,92
-70,92
-70,92
-71,88
-71,88
-71,88
-74,76
-77,64
-77,64
-73,80
-73,80
-72,84
-71,88
-72,84
-71,88
-71,88
-71,88
-70,92
-72,84
-69,96
-69,96
-69,96
-69,96
-71,88
-69,96
-70,92
-71,88
-72,84
-70,92
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-70,92
-70,92
-70,92
-69,96
-68,100
-69,96
-77,64
-74,76
-72,84
-70,92
-70,92
-68,100
-69,96
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-68,100
-70,92
-67,104
-69,96
-69,96
-69,96
-69,96
-70,92
-71,88
-71,88
-72,84
-70,92
-69,96
-70,92
-70,92
-70,92
-71,88
-70,92
-71,88
-71,88
-72,84
-73,80
-71,88
-73,80
-74,76
-75,72
-73,80
-74,76
-73,80
-73,80
-72,84
-71,88
-70,92
-70,92
-70,92
-70,92
-70,92
-70,92
-71,88
-71,88
-71,88
-70,92
